"","ID_INDIVIDU","POSTE","MOIS_NAISSANCE","NATIONALITE","DATE_NAISSANCE","CF_AGREE","POLE_ESPOIR","exp_avant_16","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_16","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_16","NB_CLUB_AVANT_16","TOP_50_AVANT_16","TOP_50_150_AVANT_16","top_restant_AVANT_16","exp_avant_17","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_17","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_17","NB_CLUB_AVANT_17","TOP_50_AVANT_17","TOP_50_150_AVANT_17","top_restant_AVANT_17","exp_avant_18","IN_NO_F2K","Anthropometrie","Detente_horizontale","Vitesse_lineaire","Vivacite","Jeux_reduits","Match","Conduite_de_balle","Gardiens_de_but","Jonglerie_en_mouvement","Vitesse_max_aerobie","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_18","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_18","NB_CLUB_AVANT_18","TOP_50_AVANT_18","TOP_50_150_AVANT_18","top_restant_AVANT_18","exp_avant_19","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_19","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_19","NB_CLUB_AVANT_19","TOP_50_AVANT_19","TOP_50_150_AVANT_19","top_restant_AVANT_19","exp_avant_20","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_20","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_20","NB_CLUB_AVANT_20","TOP_50_AVANT_20","TOP_50_150_AVANT_20","top_restant_AVANT_20","exp_avant_21","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_21","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_21","NB_CLUB_AVANT_21","TOP_50_AVANT_21","TOP_50_150_AVANT_21","top_restant_AVANT_21","exp","NB_BUT_PAR_MIN_JOUE_PAR_SAISON","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON","NB_CLUB","TOP_50","TOP_50_150","top_restant","NB_PALMARES_AVANT_16","NB_PALMARES_AVANT_17","NB_PALMARES_AVANT_18","NB_PALMARES_AVANT_19","NB_PALMARES_AVANT_20","NB_PALMARES_AVANT_21","NB_PALMARES","France U16","France U17","France U18","France U19","France U20","France U21","U16_NB_BUT","U16_NB_MATCH_JOUE","U16_NB_MIN_JOUE","U16_TITULARISATION","U17_NB_BUT","U17_NB_MATCH_JOUE","U17_NB_MIN_JOUE","U17_TITULARISATION","U18_NB_BUT","U18_NB_MATCH_JOUE","U18_NB_MIN_JOUE","U18_TITULARISATION","U19_NB_BUT","U19_NB_MATCH_JOUE","U19_NB_MIN_JOUE","U19_TITULARISATION","U20_NB_BUT","U20_NB_MATCH_JOUE","U20_NB_MIN_JOUE","U20_TITULARISATION","U21_NB_BUT","U21_NB_MATCH_JOUE","U21_NB_MIN_JOUE","U21_TITULARISATION"
"1",7,"Gardien de But",5,"France","1998-05-13T00:00:00.000Z","aucun","aucun",0,NA,NA,NA,"inconnu","inconnu","inconnu",1,0,46.67,1,"1","0","0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15.39,2,"1","0","0",1,0,8.58,3,"1","0","0",1,0,5.55,3,"1","0","0",1,0,10.14,4,"1","0","1",1,0,8.28,6,"1","0","1",0,2,3,3,3,3,3,1,1,1,1,1,0,NA,3,220,3,NA,14,1211,14,NA,6,540,6,NA,6,540,6,NA,1,90,1,NA,NA,NA,NA
"2",14,"Defenseur",10,"France","2001-10-04T00:00:00.000Z","aucun","aucun",0,0.00013,37.92,1,"1","0","0",0,0.00012,23,2,"1","0","0",1,2545109818,18.36,16.32,16.32,16.32,16.32,16.32,15.3,15.3,15.3,NA,8e-05,15.25,4,"1","1","0",1,6e-05,10.83,5,"1","1","0",1,1e-04,8.64,7,"1","1","1",1,7e-05,7.6,8,"1","1","1",1,6e-05,7.3,8,"1","1","1",0,0,0,0,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,362,4,1,15,1104,12,NA,NA,NA,NA,NA,NA,NA,NA
"3",26,"Defenseur",11,"France","2000-11-06T00:00:00.000Z","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",0,0.00033,35.62,2,"1","0","0",0,0.00012,20.86,2,"1","0","0",0,2544005232,18.48,18.48,18.48,18.48,18.48,18.48,NA,NA,NA,NA,9e-05,16.76,3,"1","0","0",0,6e-05,14.02,3,"1","0","0",0,4e-05,9.46,3,"1","0","0",0,6e-05,8.71,4,"1","1","0",0,3e-05,7.22,4,"1","1","0",0,0,0,0,0,0,0,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,450,5,NA,4,286,3,NA,2,180,2,NA,3,99,1
"4",27,"Defenseur",7,"France","2002-07-16T00:00:00.000Z","aucun","PEM - PEM CASTELMAUROU",0,0,23.48,2,"0","0","1",0,0,17.04,2,"0","0","1",0,2545087277,14.38,12.12,10.51,12.12,13.99,13.99,10.51,12.12,12.12,14.38,0,14.05,3,"0","0","1",0,0,11.91,3,"0","0","1",0,0,10.28,3,"0","0","1",0,0,8.93,4,"0","0","1",0,0,8.93,4,"0","0","1",0,0,0,0,0,0,0,1,0,0,0,0,0,NA,2,78,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",28,"Defenseur",11,"France","1999-11-02T00:00:00.000Z","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",0,NA,NA,NA,"inconnu","inconnu","inconnu",0,0.00048,76.63,1,"1","0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00011,39.77,1,"1","0","0",0,0.00017,25.24,1,"1","0","0",0,9e-05,19.36,2,"1","0","1",0,9e-05,13.63,3,"1","0","1",0,4e-05,8.95,3,"1","0","1",0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,5,384,4,NA,NA,NA,NA
"6",29,"Milieu",12,"Algérie","2004-12-08T00:00:00.000Z","CFM - LOSC LILLE ASSOCIATION","aucun",0,0.00038,14.46,1,"1","0","0",0,0.00037,11.79,2,"1","1","0",0,2545913325,13.27,13.34,13.36,13.34,14.27,14.27,13.36,13.34,13.34,13.27,0.00034,9.35,2,"1","1","0",0,0.00029,7.16,3,"1","1","1",0,0.00029,7.16,3,"1","1","1",0,0.00029,7.16,3,"1","1","1",0,0.00029,7.16,3,"1","1","1",0,0,0,0,0,0,0,1,0,1,1,0,0,NA,8,459,6,NA,NA,NA,NA,3,12,713,8,NA,3,163,2,NA,NA,NA,NA,NA,NA,NA,NA
"7",38,"Defenseur",2,"France","1998-02-01T00:00:00.000Z","aucun","aucun",0,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,81.27,1,"0","0","1",0,0,37.85,1,"0","0","1",0,0.00021,22.92,1,"0","0","1",0,2e-04,18.13,2,"0","0","1",1,2e-04,18.13,2,"0","0","1",0,0,0,0,0,0,0,1,1,1,0,0,0,NA,6,480,6,NA,3,181,2,NA,3,107,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",51,"Attaquant",11,"France","2004-11-28T00:00:00.000Z","aucun","aucun",0,0.00069,15.02,1,"1","0","0",0,0.00118,12.82,1,"1","0","0",0,2545969716,NA,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.78,NA,0.00079,9.85,2,"1","0","0",1,0.00061,8.69,3,"1","0","1",1,0.00061,8.69,3,"1","0","1",1,0.00061,8.69,3,"1","0","1",1,0.00061,8.69,3,"1","0","1",0,0,0,0,0,0,0,1,0,1,1,1,-1,NA,2,73,1,NA,NA,NA,NA,NA,2,96,1,1,9,407,5,1,5,321,4,NA,1,17,NA
"9",57,"Attaquant",10,"France","1997-10-28T00:00:00.000Z","CFM - ACADEMY AS MONACO FC","PEM - PEM REIMS",0,NA,NA,NA,"inconnu","inconnu","inconnu",1,0,6.2,1,"0","0","0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00781,4.57,2,"0","1","0",1,0.00145,14.4,2,"0","1","0",1,0.00199,7.03,3,"1","1","0",1,0.00103,6.72,3,"1","1","0",1,0.00051,4.57,6,"1","1","1",0,0,0,1,1,1,1,0,1,1,1,0,0,NA,NA,NA,NA,NA,5,308,4,NA,3,134,1,NA,3,122,1,NA,NA,NA,NA,NA,NA,NA,NA
"10",59,"Attaquant",1,"France","2001-01-14T00:00:00.000Z","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",0,0.00069,24.06,2,"1","0","0",0,6e-04,17.25,2,"1","0","0",0,2547958140,NA,18.75,18.75,18.75,18,18,18.75,18.75,18.75,NA,0.00054,11.71,3,"1","0","0",0,0.00042,8.14,3,"1","0","0",1,0.00033,7.26,4,"1","1","0",1,0.00029,6.19,5,"1","1","0",1,0.00023,5.87,6,"1","1","0",1,2,3,3,3,3,3,1,1,1,0,0,0,5,12,754,8,1,12,782,9,NA,3,192,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
